"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","root"
"Cmdline:","dstat --time -v --net --output html.20190802-143835/dstat.csv 1 300",,,,"Date:","02 Aug 2019 14:38:36 CST"
"system","procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,"net/total",
02-08 14:42:02,1,1,1,1234911232,15163392,164646912,830869504,0,0,36175872,32768,1911,1521,44.079,11.842,7.895,36.184,0,1780,22698
02-08 14:42:03,1,1,1,1234145280,14897152,210784256,787390464,0,0,46137344,1536,2818,1927,50.267,3.743,2.674,43.316,0,0,0
02-08 14:42:04,1,1,0,1233399808,17170432,237965312,760041472,0,0,37756928,16384,2615,1839,51.031,3.093,8.763,37.113,0,0,0
02-08 14:42:05,3,0,1,1231749120,17027072,242171904,758079488,0,0,35127296,32768,1873,1685,47.701,3.448,14.943,33.908,0,0,0
02-08 14:42:06,1,1,1,1232314368,14815232,246722560,755507200,0,0,27262976,0,2093,1813,48.649,2.703,19.459,29.189,0,0,0
02-08 14:42:07,1,1,1,1232302080,20340736,249966592,747372544,0,0,25165824,0,2201,1812,48.066,2.210,19.337,30.387,0,1734,23047
02-08 14:42:08,1,1,1,1231421440,15704064,260583424,742535168,0,0,30932992,32768,2286,1899,49.735,1.587,15.344,33.333,0,0,0
02-08 14:42:09,1,1,0,1231253504,15773696,261468160,741969920,0,0,29360128,0,2380,1986,50,2.062,8.763,39.175,0,0,0
02-08 14:42:10,2,2,1,1231233024,18161664,265293824,736165888,0,0,26214400,0,2332,1944,51.546,1.546,0,46.907,0,90,58
02-08 14:42:11,1,1,1,1231241216,14581760,268996608,736104448,0,0,28942336,32768,2293,1916,50.761,1.523,8.122,39.594,0,0,0
02-08 14:42:12,1,1,1,1230471168,16207872,268546048,736174080,0,0,34078720,0,2168,1712,46.927,2.235,18.436,32.402,0,1618,23752
02-08 14:42:13,6,1,1,1230487552,18137088,267550720,735268864,0,0,31457280,0,2162,1831,50.259,1.554,0,48.187,0,0,0
02-08 14:42:14,1,1,0,1230073856,14479360,271589376,735256576,0,0,29360128,32768,2192,1844,50.510,1.020,0,48.469,0,0,0
02-08 14:42:15,1,1,1,1230508032,22224896,263593984,735297536,0,0,35651584,0,2229,1901,50.761,1.523,6.091,41.624,0,0,0
02-08 14:42:16,1,1,1,1230487552,17395712,268836864,735256576,0,0,35651584,0,2314,1938,51.269,1.015,0.508,47.208,0,0,0
02-08 14:42:17,1,1,1,1230430208,17162240,269111296,735264768,0,0,30408704,32768,2201,1831,48.947,2.105,14.737,34.211,0,1734,24296
02-08 14:42:18,1,1,1,1229582336,21499904,265629696,735281152,0,0,29360128,0,2303,1795,49.479,1.042,26.042,23.438,0,0,0
02-08 14:42:19,1,1,0,1229758464,22106112,268808192,731320320,0,0,32505856,0,2095,1835,47.872,2.128,1.064,48.936,0,0,0
02-08 14:42:20,1,2,1,1229836288,16756736,274259968,731299840,0,0,35651584,32768,2495,2014,51.546,1.546,1.546,45.361,0,0,0
02-08 14:42:21,1,1,1,1229492224,18583552,272826368,731217920,0,0,35651584,0,2240,1953,49.223,1.554,29.534,19.689,0,0,0
02-08 14:42:22,2,1,1,1229758464,14594048,276733952,731521024,0,0,31678464,0,2327,1895,49.457,2.717,11.413,36.413,0,1672,24904
02-08 14:42:23,2,1,1,1229815808,17588224,273657856,731512832,0,0,37224448,0,2559,1960,52.062,1.546,0,46.392,0,0,0
02-08 14:42:24,1,1,0,1229766656,21401600,270053376,731521024,0,0,37224448,32768,2531,1999,52.604,1.042,0,46.354,0,0,0
02-08 14:42:25,1,1,1,1229430784,16994304,275361792,731545600,0,0,34603008,0,2467,1956,52.062,1.031,0,46.907,0,0,0
02-08 14:42:26,1,1,1,1229701120,14925824,277680128,731521024,0,0,36700160,0,2462,1934,51.562,1.562,0,46.875,0,0,0
02-08 14:42:27,1,1,1,1229729792,19750912,272826368,731521024,0,0,33554432,32768,2435,1919,50.532,1.596,0,47.872,0,1842,25490
02-08 14:42:28,1,1,1,1229271040,17477632,275554304,731525120,0,0,36179968,0,2507,1950,51.813,1.554,0,46.632,0,0,0
02-08 14:42:29,2,1,0,1229664256,19578880,273485824,731222016,0,0,35651584,229376,2489,1945,52.332,1.036,0,46.632,0,0,0
02-08 14:42:30,1,1,1,1229000704,18051072,276033536,731250688,0,0,35127296,32768,2416,1926,52.062,1.031,0,46.907,0,0,0
02-08 14:42:31,1,1,1,1229520896,20615168,273002496,731189248,0,0,36175872,0,2239,1896,50.761,1.523,0,47.716,0,0,0
02-08 14:42:32,1,1,1,1229520896,17027072,276561920,731185152,0,0,35651584,0,2147,1807,49.738,1.571,0,48.691,0,1780,26188
02-08 14:42:33,5,1,1,1229447168,15429632,278081536,731222016,0,0,31457280,34304,2288,1900,51.010,1.515,0,47.475,0,0,0
02-08 14:42:34,2,3,0,1229107200,17317888,276221952,731516928,0,0,20119552,151552,2189,1917,50.769,1.026,0,48.205,0,0,0
02-08 14:42:35,2,0,1,1229504512,14229504,278872064,731639808,0,0,33153024,118784,2404,2012,49.231,1.538,0,49.231,0,0,0
02-08 14:42:36,3,1,1,1229164544,17387520,275988480,731672576,0,0,35651584,32768,2286,1938,51.269,1.523,0,47.208,0,0,0
02-08 14:42:37,1,1,1,1229578240,19193856,273666048,731652096,0,0,35651584,0,2339,2012,51.282,1.538,0,47.179,0,1896,26729
02-08 14:42:38,1,1,1,1229377536,17629184,275390464,731668480,0,0,31457280,0,2222,1943,50.769,1.538,0,47.692,0,90,58
02-08 14:42:39,1,1,0,1229475840,16449536,276365312,731652096,0,0,30932992,32768,2328,1883,50.761,1.523,0,47.716,0,90,54
02-08 14:42:40,1,1,1,1229271040,17244160,275759104,731643904,0,0,33554432,0,2191,1843,50.262,1.571,5.759,42.408,0,0,0
02-08 14:42:41,1,1,1,1229488128,17567744,275070976,731660288,0,0,35651584,0,2058,1767,48.677,1.587,0,49.735,0,0,0
02-08 14:42:42,1,1,1,1229205504,17203200,275886080,731459584,0,0,35127296,32768,2261,1909,51.042,1.042,3.125,44.792,0,1672,27206
02-08 14:42:43,2,1,1,1229680640,20299776,272199680,731443200,0,0,36700160,0,2382,1873,51.323,1.587,0,47.090,0,0,0
02-08 14:42:44,1,1,0,1229406208,16543744,276180992,731459584,0,0,33554432,0,2476,1911,51.813,1.036,0,47.150,0,0,0
02-08 14:42:45,1,2,1,1229545472,18006016,274481152,731443200,0,0,34603008,16384,2529,1941,51.562,1.562,0,46.875,0,0,0
02-08 14:42:46,2,1,1,1229881344,22753280,269336576,731471872,0,0,32505856,16384,2447,1923,52.041,1.531,0,46.429,0,0,0
02-08 14:42:47,1,1,1,1229733888,18894848,273256448,731443200,0,0,29360128,0,2196,1873,50.515,1.031,0,48.454,0,1950,27911
02-08 14:42:48,4,1,1,1229553664,18522112,273735680,731443200,0,0,35127296,0,2267,1885,51.010,1.515,0,47.475,0,0,0
02-08 14:42:49,2,1,0,1229660160,18464768,273723392,731365376,0,0,34078720,32768,2266,1826,51.282,1.026,0,47.692,0,0,0
02-08 14:42:50,3,1,1,1229500416,18137088,274042880,731418624,0,0,34603008,0,2257,1831,50.754,2.010,0,47.236,0,0,0
02-08 14:42:51,1,1,1,1229651968,20627456,271372288,731422720,0,0,26214400,0,2190,1799,51.020,1.020,0,47.959,0,0,0
02-08 14:42:52,1,1,1,1229570048,16650240,275320832,731418624,0,0,33554432,32768,2067,1802,48.947,1.579,0,49.474,0,1726,28492
02-08 14:42:53,1,1,1,1229574144,16846848,275111936,731402240,0,0,25165824,0,2208,1824,50.510,1.020,0,48.469,0,0,0
02-08 14:42:54,1,1,0,1229541376,17559552,274317312,731426816,0,0,27271168,0,2282,1836,51.282,1.026,0,47.692,0,0,0
02-08 14:42:55,1,1,1,1229144064,21868544,270393344,731398144,0,0,30408704,32768,2472,1913,51.546,1.546,0,46.907,0,0,0
02-08 14:42:56,1,1,1,1229488128,15392768,276381696,731426816,0,0,35651584,0,2435,1886,52.105,1.053,0,46.842,0,0,0
02-08 14:42:57,1,1,1,1229340672,21549056,270303232,731463680,0,0,36700160,0,2379,1880,52.381,1.587,0,46.032,0,2058,29185
02-08 14:42:58,1,1,1,1229230080,22020096,269918208,731365376,0,0,33558528,32768,2419,1931,51.309,1.571,0.524,46.597,0,90,58
02-08 14:42:59,1,1,0,1229463552,19152896,272515072,731369472,0,0,32505856,0,2432,1960,52.062,1.031,0,46.907,0,0,0
02-08 14:43:00,2,1,1,1229160448,22257664,269508608,731459584,0,0,36700160,0,2567,2103,55.208,3.125,0,41.667,0,0,0
02-08 14:43:01,1,1,1,1229623296,19763200,271421440,731529216,0,0,35651584,32768,2377,1913,53.514,3.243,0,43.243,0,0,0
02-08 14:43:02,1,1,1,1229332480,16773120,274538496,731586560,0,0,28311552,0,2095,1718,49.718,2.260,0.565,47.458,0,1726,29610
02-08 14:43:03,1,1,1,1229377536,23490560,267706368,731623424,0,0,30408704,0,2471,1930,51.295,1.554,0,47.150,0,0,0
02-08 14:43:04,1,1,0,1228869632,19660800,271966208,731586560,0,0,33562624,44032,2473,1978,52.821,1.026,0,46.154,0,0,0
02-08 14:43:05,2,1,1,1229459456,15196160,275849216,731553792,0,0,33554432,0,2471,1913,51.813,1.554,0,46.632,0,0,0
02-08 14:43:06,1,1,1,1229357056,30244864,260734976,731582464,0,0,37748736,32768,2509,1967,52.332,2.073,0,45.596,0,0,0
02-08 14:43:07,2,0,1,1229774848,25722880,264716288,731672576,0,0,33554432,32768,2151,1860,49.180,2.186,4.918,43.716,0,2058,30311
02-08 14:43:08,2,1,1,1229590528,21000192,269656064,731549696,0,0,33554432,0,2040,1783,46.927,2.235,24.022,26.816,0,0,0
02-08 14:43:09,1,1,0,1229594624,26513408,264187904,731443200,0,0,32505856,0,2300,1962,50,1.053,11.053,37.895,0,0,0
02-08 14:43:10,1,1,1,1229742080,27348992,263024640,731525120,0,0,34603008,0,2309,1937,49.223,2.073,5.181,43.523,0,90,58
02-08 14:43:11,2,1,1,1229586432,25915392,264790016,731324416,0,0,22544384,262144,2376,1931,50.769,1.026,20,28.205,0,0,0
02-08 14:43:12,2,1,1,1229885440,26320896,263925760,731418624,0,0,27787264,0,2083,1631,48.352,1.648,7.143,42.857,0,1834,30802
02-08 14:43:13,3,1,1,1229545472,27492352,263086080,731377664,0,0,24641536,0,2040,1847,48.387,1.613,0,50,0,0,0
02-08 14:43:14,6,1,0,1229524992,21237760,269328384,731336704,0,0,19398656,32768,1895,1784,48.619,1.657,2.210,47.514,0,0,0
02-08 14:43:15,9,1,1,1229438976,18698240,271896576,731336704,0,0,26214400,0,1988,1782,49.215,1.047,0,49.738,0,0,0
02-08 14:43:16,1,1,1,1229262848,28164096,262533120,731336704,0,0,28311552,0,2042,1631,49.432,1.705,8.523,40.341,0,0,0
02-08 14:43:17,1,1,1,1229320192,29757440,260825088,731336704,0,0,26738688,32768,1944,1776,47.594,1.604,11.765,39.037,0,2058,31611
02-08 14:43:18,2,1,1,1229377536,14254080,276307968,731275264,0,0,23592960,0,2117,1804,50.259,1.036,0,48.705,0,0,0
02-08 14:43:19,1,1,0,1229312000,29122560,261353472,731336704,0,0,26738688,0,2370,1871,52.083,1.562,0,46.354,0,0,0
02-08 14:43:20,1,1,1,1229012992,29065216,261668864,731353088,0,0,24641536,32768,2451,1952,52.356,1.047,0,46.597,0,0,0
02-08 14:43:21,1,1,1,1228791808,24928256,265977856,731303936,0,0,29360128,0,2360,1926,51.309,1.047,12.042,35.602,0,0,0
02-08 14:43:22,1,1,1,1228414976,31301632,259964928,731295744,0,0,27262976,0,2278,1874,49.730,1.622,2.703,45.946,0,1942,32044
02-08 14:43:23,1,1,1,1228849152,30609408,260091904,731336704,0,0,24117248,32768,2422,1920,51.562,1.562,0,46.875,0,0,0
02-08 14:43:24,1,1,0,1228668928,27885568,262934528,731373568,0,0,27262976,0,2343,1904,52.083,1.042,0,46.875,0,0,0
02-08 14:43:25,1,1,1,1228808192,28110848,262508544,731336704,0,0,26738688,0,2390,1894,51.309,1.571,0,47.120,0,0,0
02-08 14:43:26,8,1,1,1228791808,22032384,268599296,731316224,0,0,24641536,40960,2295,1898,51.531,1.020,0,47.449,0,0,0
02-08 14:43:27,1,1,1,1229029376,32215040,258084864,731328512,0,0,23592960,0,2096,1765,48.677,2.116,4.762,44.444,0,2058,32633
02-08 14:43:28,1,2,1,1229000704,28332032,262033408,731275264,0,0,15204352,0,2083,1791,50.259,1.036,0,48.705,0,0,0
02-08 14:43:29,1,1,0,1228689408,17711104,272834560,731332608,0,0,23072768,0,2035,1821,50.259,1.036,0,48.705,0,0,0
02-08 14:43:30,1,1,1,1228603392,29753344,260849664,731344896,0,0,25165824,32768,2218,1915,50.521,2.083,0,47.396,0,0,0
02-08 14:43:31,1,1,1,1229008896,29757440,260345856,731340800,0,0,28311552,0,2414,1903,51.546,2.062,0,46.392,0,0,0
02-08 14:43:32,2,1,1,1228849152,14295040,275918848,731365376,0,0,24117248,0,2053,1597,48.256,1.163,0,50.581,0,1942,33164
02-08 14:43:33,1,1,1,1229041664,28860416,261095424,731340800,0,0,23068672,32768,2522,1959,51.546,1.546,0,46.907,0,0,0
02-08 14:43:34,1,1,1,1228931072,23875584,266256384,731258880,0,0,17833984,11264,2439,1919,52.062,1.031,0,46.907,0,0,0
02-08 14:43:35,1,2,1,1228865536,29413376,260603904,731373568,0,0,18907136,81920,2453,1935,51.832,1.047,0,47.120,0,0,0
